Fight Number	Name 1	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Name 2	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
5		FERCHER	Albert	0	1	0	0	0	1	7		KRONSCHLÄGER	Florian	0	0	0	3	0	0	0	
6		GERZER	Dominik	2	0	0	2	0	1	5		MATEI	Daniel	1	0	0	1	0	0	0	
7		ALLERSTORFER	Daniel	0	0	1	0	0	1	10		NATEA	Ilie	0	0	0	4	0	0	0	
8		PÜHRINGER	Reinhold	0	1	1	0	0	1	10		VOGEL	Amin	0	0	0	0	0	0	0	
9		HUEMER	Mathias	1	0	1	0	0	1	10		TIEFGRABER	Andreas	1	0	0	0	0	0	0	
10		SHALA	Driton	0	0	1	0	0	1	10		MUSSNIG	Daniel	0	0	0	0	0	0	0	
11		SCHAUBMAYR	Rene	0	0	1	0	0	1	10		FURCH	Lukas	0	0	0	0	0	0	0	
12		PFISTERMÜLLER	Peter	1	1	0	0	0	1	7		KRONSCHLÄGER	Florian	0	0	0	2	0	0	0	
13		GERZER	Dominik	0	0	1	0	0	1	10		MATEI	Daniel	0	0	0	0	0	0	0	
14		ALLERSTORFER	Daniel	0	0	1	1	0	1	10		NATEA	Ilie	0	0	0	0	0	0	0	
1		WALDHÖR	Dominik	2	0	1	0	0	1	10		HOFMANN	Lukas	0	0	0	0	0	0	0	
2		JODL	Christoph	0	0	0	0	0	0	0		HOFMANN	Nico	0	0	1	1	0	1	10	
3		FROSCHAUER	Alexander	0	0	0	0	0	0	0		SCHNEIDER	Rene	0	1	0	0	0	1	10	
4		ZEHETNER	Jan	0	0	1	0	0	1	10		SCHIRNHOFER	Felix	0	0	0	0	0	0	0	
5		RANDL	Milan	0	0	0	0	0	0	0		SCHIRNHOFER	Maximilian	0	0	1	0	0	1	10	
6		JURCIK	Pavol	0	0	0	1	0	0	0		KRONBERGER	Stefan	0	0	0	0	0	0	0	
7		OSTASZEWSKI	Dominik	0	0	0	0	0	0	0		KRONBERGER	Christoph	0	1	1	0	0	1	10	
8		WALDHÖR	Dominik	0	0	1	0	0	1	10		HOFMANN	Lukas	0	0	0	0	0	0	0	
