Fight Number	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
1	WALDHÖR	Dominik	0	0	0	1	0	0	0	GERCHEV	Yanislav	0	1	1	0	0	1	10	
2	JODL	Christoph	0	0	0	1	0	0	0	WEICHINGER	Alexander	0	0	1	0	0	1	10	
3	RUTZENSTORFER	Christian	0	0	0	1	0	0	0	HAASMANN	Nick	1	0	1	0	0	1	10	
4	HELM	Manuel	0	0	0	0	0	0	0	KUCIARA	Stefan	0	2	0	0	0	1	10	
5	OSTASZEWSKI	Dominik	0	0	0	1	0	0	0	OTT	Marcel	0	2	0	0	0	1	10	
6	CIRJENIC	Miklos	0	2	0	0	0	1	10	GEIER	Gabor	0	0	0	0	0	0	0	
7	KARNER	Andreas	0	0	0	0	0	0	0	REICHSTEIN	Julian	1	2	0	0	0	1	10	
8	WALDHÖR	Dominik	0	0	0	0	0	0	0	GERCHEV	Yanislav	0	1	1	0	0	1	10	
9	JODL	Christoph	0	0	0	2	0	0	0	WAGNER	Christopher	0	0	0	0	0	1	1	
10	RUTZENSTORFER	Christian	0	0	0	2	0	0	0	HAASMANN	Nick	0	0	1	1	0	1	10	
11	HELM	Manuel	0	0	0	0	0	0	0	SCHNEIDER	Maximilian	0	0	1	1	0	1	10	
12	OSTASZEWSKI	Dominik	0	0	1	0	0	1	10	PACHER	Johannes	0	0	0	0	0	0	0	
13	CIRJENIC	Miklos	2	1	0	0	0	1	7	REICHSTEIN	Julian	0	0	0	3	0	0	0	
14	KARNER	Andreas	0	0	0	1	0	0	0	GEIER	Gabor	1	0	1	1	0	1	10	
1	HAUCH	Alexander	1	0	0	2	0	1	5	MAJER	Tibor	0	0	0	1	0	0	0	
2	TIEFGRABER	Andreas	0	0	0	0	0	0	0	STADLBAUER	Christian	0	0	1	0	0	1	10	
3	PFEIFFER	Johannes	0	0	0	2	0	0	0	WEIßSTEINER	Bernhard	0	0	1	1	0	1	10	
4	SCHVARCZ	Razvan	1	0	0	2	0	0	0	ZACHAR	Christian	0	0	1	2	0	1	10	
5	KRONSCHLÄGER	Florian	1	0	0	1	0	0	0	RADLHERR	Christoph	0	0	1	0	0	1	10	
6	MATEI	Daniel	2	2	0	2	0	1	10	PRENTNER	Clemens	0	0	0	2	0	0	0	
7	FURCH	Lukas	0	0	0	1	0	0	0	WOJNAROWICZ	Janusz	0	0	1	0	0	1	10	
8	HAUCH	Alexander	0	0	0	2	0	0	0	MAJER	Tibor	0	0	1	2	0	1	10	
9	TIEFGRABER	Andreas	1	1	0	0	0	1	7	STADLBAUER	Christian	0	0	0	2	0	0	0	
10	PFEIFFER	Johannes	0	1	0	2	0	0	0	WEIßSTEINER	Bernhard	0	1	0	1	0	1	1	
11	SCHVARCZ	Razvan	0	0	0	2	0	0	0	ZACHAR	Christian	0	0	0	2	0	0	0	
12	KRONSCHLÄGER	Florian	1	1	0	3	0	1	7	RADLHERR	Christoph	0	0	0	2	0	0	0	
13	MATEI	Daniel	1	0	1	0	0	1	10	PRENTNER	Clemens	0	0	0	1	0	0	0	
14	FURCH	Lukas	0	0	0	1	0	0	0	WOJNAROWICZ	Janusz	0	1	1	0	0	1	10	
1	HÖDL	Manuel	0	0	0	0	0	0	0	BORCHASHVILI	Kimran	0	0	1	0	0	1	10	
2	LANG	Dominik	1	0	0	2	0	1	5	HAMINGER	Thomas	0	0	0	1	0	0	0	
3	ACKERL	Thomas	0	0	0	0	0	0	0	WINKLER	Michael	0	0	1	0	0	1	10	
4	SCHÖGLER	Christoph	1	0	0	1	0	0	0	STEGMAYER	Dominik	5	0	1	1	0	1	10	
5	ACKERL	Philipp	0	0	1	0	0	1	10	KAHLIG	Markus	0	0	0	0	0	0	0	
6	KRPALEK	Lukas	0	2	0	0	0	1	10	RIEGLER	Stefan	0	0	0	0	0	0	0	
7	PFEIFFER	Dino	0	0	0	1	0	0	0	HORAK	Michal	1	0	0	1	0	1	5	
8	HÖDL	Manuel	0	0	0	0	0	0	0	BORCHASHVILI	Kimran	0	0	1	0	0	1	10	
9	GRASMUGG	Jürgen	0	0	0	0	0	1	10	HAMINGER	Thomas	0	0	0	0	1	0	0	
10	OSSIASCHWILI	Georgi	1	0	1	0	0	1	10	BORCHASHVILI	Shamil	0	0	0	0	0	0	0	
11	ACKERL	Thomas	0	0	0	0	0	0	0	STEGMAYER	Dominik	0	2	0	0	0	1	10	
12	ACKERL	Philipp	0	0	0	0	0	0	0	KAHLIG	Markus	0	0	1	0	0	1	10	
13	PFEIFFER	Dino	0	0	1	1	0	1	10	RIEGLER	Stefan	0	0	0	1	0	0	0	
14	KRPALEK	Lukas	1	0	1	0	0	1	10	HORAK	Michal	0	0	0	0	0	0	0	
1	HOFMANN	Lukas	0	0	0	0	0	0	0	GERCHEV	Yanislav	1	1	1	0	0	1	10	
2	HOFMANN	Nico	0	0	0	1	0	0	0	WEICHINGER	Alexander	0	0	1	0	0	1	10	
3	SCHNEIDER	Rene	0	2	0	0	0	1	10	HAASMANN	Nick	0	0	0	0	0	0	0	
4	WAGNER	Steffen	0	0	0	0	0	0	0	KUCIARA	Stefan	0	0	1	0	0	1	10	
5	PICHLER	Christian	0	0	0	0	0	0	0	OTT	Marcel	0	0	0	0	0	0	0	
6	KRONBERGER	Christoph	0	0	0	2	0	0	0	REICHSTEIN	Julian	0	0	0	1	0	1	1	
7	KRONBERGER	Stefan	0	0	0	1	0	0	0	GEIER	Gabor	0	1	0	1	0	1	7	
8	PRASCHL	Johannes	0	0	0	0	0	0	0	GERCHEV	Yanislav	0	1	0	0	0	1	10	
9	HOFMANN	Nico	1	0	0	2	0	1	5	WEICHINGER	Alexander	0	0	0	1	0	0	0	
10	MÜKISCH	Philipp	1	0	0	0	0	0	0	HACKL	Florian	1	2	0	1	0	1	10	
11	SCHNEIDER	Rene	0	2	0	0	0	1	10	KUCIARA	Stefan	0	0	0	1	0	0	0	
12	BRUNNER	Tobias	1	0	1	0	0	1	10	REICHMANN	Manuel	0	0	0	1	0	0	0	
13	KRONBERGER	Christoph	0	0	0	0	0	0	0	REICHSTEIN	Julian	0	2	0	1	0	1	10	
14	KRONBERGER	Stefan	0	0	1	0	0	1	10	GEIER	Gabor	0	0	0	0	0	0	0	
1	HÖDL	Manuel	0	0	0	3	0	0	0	GRAF	Philip	0	0	0	2	0	1	1	
2	GARCIA CASTILLO	Jonathan	0	0	0	0	0	0	0	STADLBAUER	Christian	0	0	1	0	0	1	10	
3	OSSIASCHWILI	Georgi	1	1	0	1	0	0	0	WEIßSTEINER	Bernhard	0	0	1	1	0	1	10	
4	ACKERL	Thomas	0	0	0	0	0	0	0	ZACHAR	Christian	0	0	1	0	0	1	10	
5	ACKERL	Philipp	1	0	0	0	0	0	0	RADLHERR	Christoph	0	0	1	0	0	1	10	
6	KRPALEK	Lukas	0	2	0	0	0	1	10	PRENTNER	Clemens	0	0	0	0	0	0	0	
