Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
59	Thomas	Haminger	LZ Multikraft Wels	-73 kg	3	30	2	2	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
61	Dominic	Huscava	cafe+co Vienna Samurai	-81 kg	3	30	2	2	0	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
62	Dalibor	Durco	JU Raika Pinzgau	-60 kg	3	30	1	3	0	0	2	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovakia	Slovakia
62	Patrick	Steinmann	cafe+co Vienna Samurai	+100 kg	3	30	1	3	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
64	Tobias	Modl	JU Raiffeisen Flachgau	-66 kg	3	30	1	1	0	0	2	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
65	Mathias	Czizsek	Volksbank Galaxy Judotigers	-73 kg	3	27	2	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
66	Sebastian	Schneider	Volksbank Galaxy Judotigers	-100 kg	3	27	1	3	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
67	Philipp	Lindinger	JU DynamicOne	-60 kg	3	27	1	3	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
68	Rainer	Binder	UJZ Mühlviertel 1	+100 kg	3	27	1	3	0	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
69	Bernhard	Weißsteiner	cafe+co Vienna Samurai	-73 kg	3	24	1	3	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
70	Alexander	Klaus-Sternwieser	ASKÖ Reichraming	-60 kg	2	20	2	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
71	Thomas	Sterner	JU Raiffeisen Flachgau	-90 kg	2	20	2	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
72	Mario	Wiesinger	UJZ Mühlviertel 1	-66 kg	2	20	2	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
72	Petar	Dordic	Volksbank Galaxy Judotigers	-66 kg	2	20	2	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
72	Thomas	Ecker	LZ Multikraft Wels	-60 kg	2	20	2	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
75	Hermann	Höllwart	JU Raika Pinzgau	-81 kg	2	20	2	0	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
76	Patrick	Ganselmayer	cafe+co Vienna Samurai	-81 kg	2	20	2	0	0	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
77	Andreas	Nagl	JU Raiffeisen Flachgau	-90 kg	2	20	1	3	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
77	Felician	Öri	cafe+co Vienna Samurai	-73 kg	2	20	1	3	0	0	0	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
77	Matjaz	Trbovc	cafe+co Vienna Samurai	-60 kg	2	20	1	3	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia
77	Toma	Nikiforov	UJZ Mühlviertel 1	+100 kg	2	20	1	3	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Belgium	Belgium
81	Daniel	Herzog	JU Raiffeisen Flachgau	-73 kg	2	20	1	3	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
82	Wojciech	Kanik	UJZ Mühlviertel 1	-90 kg	2	20	1	3	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
83	David	Kukovica	JU Raika Pinzgau	-100 kg	2	20	1	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia
83	Nils Tommy	Macias	JU Raiffeisen Flachgau	-73 kg	2	20	1	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
85	Miklos	Cirjenic	LZ Multikraft Wels	+100 kg	2	20	1	2	0	0	2	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
85	Oliver	Sellner	ASKÖ Reichraming	-73 kg	2	20	1	2	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
87	Samuel	Gaßner	UJZ Mühlviertel 1	-66 kg	2	20	1	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
88	Onise	Saneblidze	Volksbank Galaxy Judotigers	-100 kg	2	20	1	2	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Georgia	Georgia
89	Ilie	Natea	JC Wimpassing Sparkasse	+100 kg	2	20	1	1	0	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
90	Christoph	Radlherr	cafe+co Vienna Samurai	-100 kg	2	20	1	0	0	0	8	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
91	Christoph	Scharer	JU Raika Pinzgau	-60 kg	2	20	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
92	Michail	Sobanov	cafe+co Vienna Samurai	-73 kg	2	17	1	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
93	Thomas	Lang	JC Wimpassing Sparkasse	-60 kg	2	17	1	2	0	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
94	Andreas	Wenisch	JC Wimpassing Sparkasse	-81 kg	2	17	1	2	0	0	9	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
95	Matteo	Piras	JC Wimpassing Sparkasse	-66 kg	2	17	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Italy	Italy
96	Wachid	Borchashvili	LZ Multikraft Wels	-73 kg	2	17	1	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
97	Georgii	Zantaraia	JU Raiffeisen Flachgau	-66 kg	2	17	1	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
97	Jorge	Rodrigues Da Fonseca	Volksbank Galaxy Judotigers	-100 kg	2	17	1	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
99	Julian	Reichstein	Volksbank Galaxy Judotigers	+100 kg	2	17	1	1	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
100	Peter	Pfistermüller	UJZ Mühlviertel 1	+100 kg	2	17	0	3	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
101	Michael	Winkler	LZ Multikraft Wels	-73 kg	2	14	0	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
102	Johann	Schmid	JC Wimpassing Sparkasse	-81 kg	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
103	Dominik	Stegmayer	LZ Multikraft Wels	-81 kg	1	10	1	1	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
104	Marcel	Pichler	JU Raika Pinzgau	-60 kg	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
105	Lukas	Lindorfer	UJZ Mühlviertel 1	-60 kg	1	10	1	0	0	0	4	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
106	Christoph	Jodl	JU Raiffeisen Flachgau	-73 kg	1	10	1	0	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
107	Dominik	Druzeta	UJZ Mühlviertel 1	-81 kg	1	10	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Croatia	Croatia
108	Peter	Anetshofer	cafe+co Vienna Samurai	-66 kg	1	10	0	2	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
109	Alexander	Willnauer	JU DynamicOne	-100 kg	1	10	0	2	0	0	4	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
110	Matej	Poliak	JU Raika Pinzgau	-66 kg	1	10	0	2	0	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovakia	Slovakia
110	Philipp	Mükisch	JU Raiffeisen Flachgau	-73 kg	1	10	0	2	0	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
112	Matthias	Wimberger	JU Raika Pinzgau	-100 kg	1	7	0	1	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
113	Markus	Wimberger	JU Raika Pinzgau	-73 kg	0	0	0	2	0	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
114	Marcus	Eder	LZ Multikraft Wels	-90 kg	0	0	0	1	0	0	3	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
115	Mathias	Willnauer	JU DynamicOne	+100 kg	0	0	0	1	0	0	7	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
116	Andreas	Herzog	JU Raika Pinzgau	-81 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
116	Bernhard	Alber	JC Wimpassing Sparkasse	+100 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
116	Bernhard	Scharnreitner	ASKÖ Reichraming	-73 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
116	Christoph	Hofer	UJZ Mühlviertel 1	-81 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
