Rang	Last Name	First Name	Team Name	S	U	N	Count	S/K	Gastkämpfer	Source
65	HÖDL	Manuel	SU Noricum Leibnitz 1	3	0	7	10	30,0%		
66	ACKERL	Philipp	SU Noricum Leibnitz 1	2	2	8	12	16,7%		
69	NAKAMURA	Toshihide	SU Noricum Leibnitz 1	2	0	0	2	100,0%		
76	POPP	Philipp	SU Noricum Leibnitz 1	2	0	1	3	66,7%		
91	LANG	Dominik	SU Noricum Leibnitz 1	1	1	11	13	7,7%		
102	ACKERL	Thomas	SU Noricum Leibnitz 1	1	0	3	4	25,0%		
110	FRÖHLICH	Gernot	SU Noricum Leibnitz 1	0	0	1	1	0,0%		
120	MAUTHNER	Markus	SU Noricum Leibnitz 1	0	0	2	2	0,0%		
120	SCHÖGLER	Christoph	SU Noricum Leibnitz 1	0	0	2	2	0,0%		
120	PINTARIC	Julian	SU Noricum Leibnitz 1	0	0	2	2	0,0%		
23	RUSCH	Patrick	ULZ TECTUM Hohenems	8	0	4	12	66,7%		
34	GREITER	Michael	ULZ TECTUM Hohenems	6	0	2	8	75,0%		
39	SCHMIDT	Alexander	ULZ TECTUM Hohenems	5	2	7	14	35,7%		
45	SOHM	Michael	ULZ TECTUM Hohenems	5	0	6	11	45,5%		
59	KRIZSAN	Szabolcs	ULZ TECTUM Hohenems	3	0	1	4	75,0%		
69	HADFI	Dániel	ULZ TECTUM Hohenems	2	0	0	2	100,0%		
82	SCHMID	Johannes	ULZ TECTUM Hohenems	2	0	10	12	16,7%		
106	FLEISCH	Lukas	ULZ TECTUM Hohenems	1	0	4	5	20,0%		
110	SCHINNERL	Emanuel	ULZ TECTUM Hohenems	0	0	1	1	0,0%		
120	SCHATZ	Christian	ULZ TECTUM Hohenems	0	0	2	2	0,0%		
136	ALBICKER	Stephan	ULZ TECTUM Hohenems	0	0	4	4	0,0%		
137	STEBER	Dominik	ULZ TECTUM Hohenems	0	0	5	5	0,0%		
139	DONNER	Florian	ULZ TECTUM Hohenems	0	0	7	7	0,0%		
141	SOHM	Marc	ULZ TECTUM Hohenems	0	0	8	8	0,0%		
1	FERCHER	Albert	Union Judo Zentrum Mühlviertel 1	17	1	2	20	85,0%		
5	REITER	Georg	Union Judo Zentrum Mühlviertel 1	12	4	2	18	66,7%		
15	SCHAUBMAYR	Rene	Union Judo Zentrum Mühlviertel 1	9	2	5	16	56,3%		
17	SCHARINGER	Peter	Union Judo Zentrum Mühlviertel 1	9	1	5	15	60,0%		
28	PÜHRINGER	Reinhold	Union Judo Zentrum Mühlviertel 1	6	2	2	10	60,0%		
37	MATYJASZEK	Przemyslaw	Union Judo Zentrum Mühlviertel 1	5	2	1	8	62,5%		
40	ALLERSTORFER	Daniel	Union Judo Zentrum Mühlviertel 1	5	2	10	17	29,4%		
50	SHALA	Driton	Union Judo Zentrum Mühlviertel 1	4	1	2	7	57,1%		
52	GERZER	Dominik	Union Judo Zentrum Mühlviertel 1	4	0	0	4	100,0%		
61	ESIMBETOV	Gabit	Union Judo Zentrum Mühlviertel 1	3	0	4	7	42,9%		
78	GOGOTCHURI	Zviad	Union Judo Zentrum Mühlviertel 1	2	0	2	4	50,0%		
79	PFISTERMÜLLER	Peter	Union Judo Zentrum Mühlviertel 1	2	0	3	5	40,0%		
92	SCHLÖGL	Martin	Union Judo Zentrum Mühlviertel 1	1	0	0	1	100,0%		
96	HUEMER	Mathias	Union Judo Zentrum Mühlviertel 1	1	0	1	2	50,0%		
120	DOBERSBERGER	Martin	Union Judo Zentrum Mühlviertel 1	0	0	2	2	0,0%		
120	UNTERMOSER	Dominik	Union Judo Zentrum Mühlviertel 1	0	0	2	2	0,0%		
120	BRANDTNER	Gregor	Union Judo Zentrum Mühlviertel 1	0	0	2	2	0,0%		
9	PASOLLI	Ivo	WSG Swarovski Judo Wattens	11	1	2	14	78,6%		
13	LINDNER	Florian	WSG Swarovski Judo Wattens	10	0	4	14	71,4%		
17	IVINGER	Erich	WSG Swarovski Judo Wattens	9	1	5	15	60,0%		
30	IMRE	Lehel	WSG Swarovski Judo Wattens	6	1	5	12	50,0%		
46	GRASSMAIR	Severin	WSG Swarovski Judo Wattens	5	0	7	12	41,7%		
54	GERMROTH	Florian	WSG Swarovski Judo Wattens	4	0	2	6	66,7%		
68	HAUSER	Franz	WSG Swarovski Judo Wattens	2	1	2	5	40,0%		
85	FRISCHMANN	Florian	WSG Swarovski Judo Wattens	1	2	4	7	14,3%		
89	SCHWEINBERGER	Simon	WSG Swarovski Judo Wattens	1	1	4	6	16,7%		
92	JENEWEIN	Daniel	WSG Swarovski Judo Wattens	1	0	0	1	100,0%		
96	HISCHIER	Dominique	WSG Swarovski Judo Wattens	1	0	1	2	50,0%		
110	ANGERER	Christoph	WSG Swarovski Judo Wattens	0	0	1	1	0,0%		
110	PREM	Gerhard	WSG Swarovski Judo Wattens	0	0	1	1	0,0%		
110	ERBER	Gerd	WSG Swarovski Judo Wattens	0	0	1	1	0,0%		
120	PARREINER	Harald	WSG Swarovski Judo Wattens	0	0	2	2	0,0%		
133	WILDAUER	Peter	WSG Swarovski Judo Wattens	0	0	3	3	0,0%		
133	ANGERER	Stefan	WSG Swarovski Judo Wattens	0	0	3	3	0,0%		
138	STEINICKE	Alexander	WSG Swarovski Judo Wattens	0	0	6	6	0,0%		
	Drexler	Hilde	JC Vienna Samurai							{{Internetquelle |url=https://www.judoaustria.at/samurai-wien-holt-frauen-titelsamurai-wien-holt-frauen-titel/ |titel=Samurai Wien holt Frauen-Titel |werk=Judo Austria |hrsg=Judo Austria |datum=2010-11-22 |sprache=de-DE |abruf=2025-02-06}}
	Hukuda-Strubreiter	Fabiane	LZ Wels						Ja	{{Internetquelle |url=https://www.judoaustria.at/samurai-wien-holt-frauen-titelsamurai-wien-holt-frauen-titel/ |titel=Samurai Wien holt Frauen-Titel |werk=Judo Austria |hrsg=Judo Austria |datum=2010-11-22 |sprache=de-DE |abruf=2025-02-06}}
	Filzmoser	Sabrina	LZ Wels							{{Internetquelle |url=https://www.judoaustria.at/samurai-wien-holt-frauen-titelsamurai-wien-holt-frauen-titel/ |titel=Samurai Wien holt Frauen-Titel |werk=Judo Austria |hrsg=Judo Austria |datum=2010-11-22 |sprache=de-DE |abruf=2025-02-06}}
